NAMESPACE         NAME                                                   DATA   AGE
default           kube-root-ca.crt                                       1      17m
kube-node-lease   kube-root-ca.crt                                       1      17m
kube-public       kube-root-ca.crt                                       1      17m
kube-system       chart-content-traefik                                  0      16m
kube-system       chart-content-traefik-crd                              0      16m
kube-system       cluster-dns                                            2      17m
kube-system       coredns                                                2      17m
kube-system       extension-apiserver-authentication                     6      17m
kube-system       kube-apiserver-legacy-service-account-token-tracking   1      17m
kube-system       kube-root-ca.crt                                       1      17m
kube-system       local-path-config                                      4      16m
